Ano,Crimes,Homicidios,Registros,Apreendidas,IDH,Desemprego,IPC
2003,,36115,5948.0,,0.688,12.3,
2004,,34187,18788.0,,0.692,11.5,
2005,,33419,42532.0,,0.698,9.8,
2006,,34921,31045.0,,0.7,9.6,
2007,,34147,169296.0,,0.704,9.3,
2008,,35676,71845.0,,0.715,7.9,
2009,,36624,63129.0,,0.717,8.1,
2010,,36792,56967.0,,0.723,7.0,
2011,,36737,36378.0,,0.728,6.0,
2012,,40077,33395.0,,0.732,5.5,43.0
2013,,40369,35140.0,1576.0,0.75,5.7,42.0
2014,,42755,30507.0,2410.0,0.754,,43.0
2015,260780.0,41817,36003.0,2124.0,0.753,6.4,38.0
2016,300195.0,44475,36472.0,2383.0,0.755,11.8,40.0
2017,306684.0,47510,59372.0,2366.0,0.759,12.8,37.0
2018,270089.0,41179,83334.0,2230.0,0.764,,35.0
2019,205115.0,30206,93452.0,2016.0,0.766,11.93,35.0
